#,Thumb,Index,Middle,Ring,Pinky
calib_closed,166786.55,645400.19,210874.66,159935.43,246920.50
calib_half,168166.05,536475.05,195054.10,150579.83,220416.28
calib_open,165513.87,491235.01,179621.84,142322.23,195716.00
calib_span,1272.68,154165.18,31252.82,17613.20,51204.50

time_s,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
8.2070,1.00000,1.00000,1.00000,1.00000,0.41439,0.27860,-0.19350,-0.92210
8.2230,1.00000,1.00000,1.00000,1.00000,0.41693,0.27450,-0.16690,-0.91430
8.2400,1.00000,1.00000,1.00000,1.00000,0.41788,0.28110,-0.17760,-0.90770
8.2570,1.00000,1.00000,1.00000,1.00000,0.41788,0.28110,-0.17760,-0.90770
8.2730,1.00000,1.00000,1.00000,1.00000,0.41788,0.28110,-0.17760,-0.90770
8.2900,1.00000,1.00000,1.00000,1.00000,0.41598,0.28770,-0.22180,-0.92180
8.3070,1.00000,1.00000,1.00000,1.00000,0.41598,0.28770,-0.22180,-0.92180
8.3230,1.00000,1.00000,1.00000,1.00000,0.41598,0.28770,-0.22180,-0.92180
8.3400,1.00000,1.00000,1.00000,1.00000,0.41915,0.26790,-0.15270,-0.90280
8.3560,1.00000,1.00000,1.00000,1.00000,0.41915,0.25910,-0.14810,-0.90300
8.3720,1.00000,1.00000,1.00000,1.00000,0.41915,0.25910,-0.14810,-0.90300
8.3900,1.00000,1.00000,1.00000,1.00000,0.41915,0.25910,-0.14810,-0.90300
8.4060,1.00000,1.00000,1.00000,1.00000,0.42010,0.28160,-0.15180,-0.92010
8.4230,1.00000,1.00000,1.00000,1.00000,0.42010,0.28160,-0.15180,-0.92010
8.4400,1.00000,1.00000,1.00000,1.00000,0.42010,0.28160,-0.15180,-0.92010
8.4570,1.00000,1.00000,1.00000,1.00000,0.41978,0.27400,-0.18320,-0.92840
8.4740,1.00000,1.00000,1.00000,1.00000,0.42010,0.27400,-0.19500,-0.92740
8.4900,1.00000,1.00000,1.00000,1.00000,0.42010,0.27400,-0.19500,-0.92740
8.5060,1.00000,1.00000,1.00000,1.00000,0.42010,0.27400,-0.19500,-0.92740
8.5220,1.00000,1.00000,1.00000,1.00000,0.41946,0.27300,-0.17860,-0.93550
8.5380,1.00000,1.00000,1.00000,1.00000,0.42041,0.28300,-0.17280,-0.93090
8.5540,1.00000,1.00000,1.00000,1.00000,0.42041,0.28300,-0.17280,-0.93090
8.5700,1.00000,1.00000,1.00000,1.00000,0.42041,0.28300,-0.17280,-0.93090
8.5860,1.00000,1.00000,1.00000,1.00000,0.41788,0.27230,-0.16570,-0.92990
8.6030,1.00000,1.00000,1.00000,1.00000,0.41788,0.27230,-0.16570,-0.92990
8.6200,1.00000,1.00000,1.00000,1.00000,0.41788,0.27230,-0.16570,-0.92990
8.6360,1.00000,1.00000,1.00000,1.00000,0.41597,0.27470,-0.17810,-0.91720
8.6520,1.00000,1.00000,1.00000,1.00000,0.41534,0.26450,-0.15320,-0.91260
8.6680,1.00000,1.00000,1.00000,1.00000,0.41534,0.26450,-0.15320,-0.91260
8.6850,1.00000,1.00000,1.00000,1.00000,0.41534,0.26450,-0.15320,-0.91260
8.7010,1.00000,1.00000,1.00000,1.00000,0.41566,0.26080,-0.17890,-0.91670
8.7180,1.00000,1.00000,1.00000,1.00000,0.41566,0.26080,-0.17890,-0.91670
8.7360,1.00000,1.00000,1.00000,1.00000,0.41566,0.26080,-0.17890,-0.91670
8.7530,1.00000,1.00000,1.00000,1.00000,0.41566,0.26080,-0.17890,-0.91670
8.7710,1.00000,1.00000,1.00000,1.00000,0.41471,0.27470,-0.18230,-0.92450
8.7870,1.00000,1.00000,1.00000,1.00000,0.41471,0.27470,-0.18230,-0.92450
8.8030,1.00000,1.00000,1.00000,1.00000,0.41471,0.27470,-0.18230,-0.92450
