#,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
3.9130,0.00883,0.94713,-0.20343,0.91837,1.00000,0.22520,0.24640,-0.91620
3.9300,0.00883,0.94713,-0.20343,0.91837,1.00000,0.22520,0.24640,-0.91620
3.9460,0.01758,0.94559,-0.19102,0.92030,1.00000,0.22620,0.24720,-0.90910
3.9620,0.02650,0.93853,-0.22404,0.90364,1.00000,0.22470,0.24030,-0.91870
3.9790,0.02650,0.93853,-0.22404,0.90364,1.00000,0.22470,0.24030,-0.91870
3.9950,0.02650,0.93853,-0.22404,0.90364,1.00000,0.22470,0.24030,-0.91870
4.0130,0.02068,0.93883,-0.20373,0.89396,1.00000,0.22640,0.24640,-0.91650
4.0290,0.02068,0.93883,-0.20373,0.89396,1.00000,0.22640,0.24640,-0.91650
4.0460,0.02068,0.93883,-0.20373,0.89396,1.00000,0.22640,0.24640,-0.91650
4.0620,0.02068,0.93883,-0.20373,0.89396,1.00000,0.22640,0.24640,-0.91650
4.0780,0.04115,0.93606,-0.21723,0.89205,1.00000,0.22550,0.24670,-0.91450
4.0950,0.04115,0.93606,-0.21723,0.89205,1.00000,0.22550,0.24670,-0.91450
4.1110,0.04115,0.93606,-0.21723,0.89205,1.00000,0.22550,0.24670,-0.91450
4.1270,0.02941,0.93575,-0.30887,0.87987,1.00000,0.22450,0.24300,-0.91620
4.1440,-1.00000,0.93421,-0.30060,0.88755,1.00000,0.22280,0.24420,-0.91990
4.1610,-1.00000,0.93421,-0.30060,0.88755,1.00000,0.22280,0.24420,-0.91990
4.1770,-1.00000,0.93421,-0.30060,0.88755,1.00000,0.22280,0.24420,-0.91990
4.1940,-1.00000,0.93297,-0.19771,0.88240,1.00000,0.22420,0.23030,-0.91790
4.2110,-1.00000,0.93174,-0.22216,0.87853,1.00000,0.23030,0.25010,-0.91210
4.2270,-1.00000,0.93174,-0.22216,0.87853,1.00000,0.23030,0.25010,-0.91210
4.2430,-1.00000,0.93174,-0.22216,0.87853,1.00000,0.23030,0.25010,-0.91210
4.2600,-1.00000,0.93787,-0.13252,0.87529,1.00000,0.22370,0.24200,-0.91520
4.2760,-1.00000,0.93787,-0.13252,0.87529,1.00000,0.22370,0.24200,-0.91520
4.2930,-1.00000,0.93787,-0.13252,0.87529,1.00000,0.22370,0.24200,-0.91520
4.3100,-1.00000,0.94064,-0.17828,0.87142,1.00000,0.22520,0.23890,-0.92210
4.3260,-1.00000,0.94002,-0.17828,0.87593,1.00000,0.22570,0.22980,-0.92040
4.3430,-1.00000,0.94002,-0.17828,0.87593,1.00000,0.22570,0.22980,-0.92040
4.3600,-1.00000,0.94002,-0.17828,0.87593,1.00000,0.22570,0.22980,-0.92040
4.3760,-1.00000,0.94094,-0.16568,0.88624,1.00000,0.22640,0.24810,-0.92040
4.3930,-1.00000,0.94094,-0.16568,0.88624,1.00000,0.22640,0.24810,-0.92040
4.4090,-1.00000,0.94094,-0.16568,0.88624,1.00000,0.22640,0.24810,-0.92040
4.4260,-1.00000,0.94094,-0.16568,0.88624,1.00000,0.22640,0.24810,-0.92040
4.4420,-1.00000,0.94217,-0.03745,0.87919,1.00000,0.22470,0.24860,-0.91430
