#,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
3.9670,0.95392,0.85737,1.00000,1.00000,0.65194,0.33480,-0.07470,-0.91350
3.9840,0.95392,0.85737,1.00000,1.00000,0.65194,0.33480,-0.07470,-0.91350
4.0000,0.95392,0.85737,1.00000,1.00000,0.65194,0.33480,-0.07470,-0.91350
4.0170,0.95878,0.85628,1.00000,1.00000,0.65399,0.33450,-0.06690,-0.91230
4.0340,0.95600,0.85627,1.00000,1.00000,0.64947,0.33570,-0.08370,-0.90670
4.0500,0.95600,0.85627,1.00000,1.00000,0.64947,0.33570,-0.08370,-0.90670
4.0660,0.95600,0.85627,1.00000,1.00000,0.64947,0.33570,-0.08370,-0.90670
4.0830,0.95599,0.85482,1.00000,1.00000,0.64742,0.34060,-0.08710,-0.90650
4.0990,0.95599,0.85482,1.00000,1.00000,0.64742,0.34060,-0.08710,-0.90650
4.1160,0.95599,0.85482,1.00000,1.00000,0.64742,0.34060,-0.08710,-0.90650
4.1320,0.95599,0.85482,1.00000,1.00000,0.64742,0.34060,-0.08710,-0.90650
4.1490,0.94940,0.85117,1.00000,1.00000,0.64413,0.33400,-0.08200,-0.91520
4.1660,0.94940,0.85117,1.00000,1.00000,0.64413,0.33400,-0.08200,-0.91520
4.1830,0.94940,0.85117,1.00000,1.00000,0.64413,0.33400,-0.08200,-0.91520
4.2000,0.95078,0.84715,1.00000,1.00000,0.64248,0.35820,-0.09370,-0.91890
4.2170,0.95078,0.84715,1.00000,1.00000,0.64248,0.35820,-0.09370,-0.91890
4.2340,0.95078,0.84715,1.00000,1.00000,0.64248,0.35820,-0.09370,-0.91890
4.2510,0.95078,0.84715,1.00000,1.00000,0.64248,0.35820,-0.09370,-0.91890
4.2670,0.94872,0.84496,1.00000,1.00000,0.64207,0.33480,-0.06860,-0.90430
4.2840,0.94872,0.84496,1.00000,1.00000,0.64207,0.33480,-0.06860,-0.90430
4.3000,0.94872,0.84496,1.00000,1.00000,0.64207,0.33480,-0.06860,-0.90430
4.3180,0.94560,0.84606,1.00000,1.00000,0.63919,0.34890,-0.08300,-0.89500
4.3350,0.94525,0.84351,1.00000,1.00000,0.64084,0.34210,-0.09470,-0.89840
4.3520,0.94525,0.84351,1.00000,1.00000,0.64084,0.34210,-0.09470,-0.89840
4.3680,0.94525,0.84351,1.00000,1.00000,0.64084,0.34210,-0.09470,-0.89840
4.3850,0.94561,0.84169,1.00000,1.00000,0.63796,0.33750,-0.07100,-0.92060
4.4020,0.94561,0.84169,1.00000,1.00000,0.63796,0.33750,-0.07100,-0.92060
4.4180,0.94561,0.84169,1.00000,1.00000,0.63796,0.33750,-0.07100,-0.92060
4.4360,0.95046,0.84132,1.00000,1.00000,0.64166,0.33720,-0.06510,-0.90620
4.4530,0.95046,0.84315,1.00000,1.00000,0.63796,0.34230,-0.10930,-0.91550
4.4690,0.95046,0.84315,1.00000,1.00000,0.63796,0.34230,-0.10930,-0.91550
4.4860,0.95046,0.84315,1.00000,1.00000,0.63796,0.34230,-0.10930,-0.91550
4.5020,0.94629,0.84388,1.00000,1.00000,0.63425,0.34260,-0.08150,-0.89960
4.5190,0.94629,0.84388,1.00000,1.00000,0.63425,0.34260,-0.08150,-0.89960
4.5350,0.94629,0.84388,1.00000,1.00000,0.63425,0.34260,-0.08150,-0.89960
4.5530,0.94421,0.84607,1.00000,1.00000,0.63302,0.34990,-0.08690,-0.91910
4.5690,0.94003,0.84571,1.00000,1.00000,0.62725,0.34700,-0.08200,-0.90380
